Eläimen numero;Nimi;Tuotoskausi numero;Tuotospäivät;Päivätuotos;Päivätuotoksen poikkeama;Päivätuotos. keskim.;Lypsyjä;Keksiarvo Ohikulut;kg väkirehua / 100 kg maitoa;Syönti yht.;Yhteensä tänään;Jäännös yhteensä;Rasva%;Valkuais%;Rasva/valkuais suhde;Märehtimismin. yht.;Paino Keskiarvo;Solut
410;Laguna;2;80;46,9;0,2;46,7;3,1;0,6;16,52;7,55;7,80;0,12;3,42;3,20;1,07;525;535;20
635;Ladiz;2;130;44,4;1,5;42,9;3,7;3,6;16,20;7,21;6,98;0,14;4,06;3,82;1,06;500;553;190
593;Kukkanen;3;120;38,9;-0,7;39,6;2,0;0,1;13,39;5,44;7,30;1,09;5,22;3,81;1,37;524;587;96
586;Kuje;3;212;35,8;-0,9;36,7;4,0;2,9;16,11;5,83;5,68;0,11;4,94;3,68;1,34;513;557;202
992;Kira;3;123;40,0;0,3;39,7;2,1;0,1;18,93;7,53;7,00;0,44;4,33;3,55;1,22;537;689;119
700;Kiova;3;126;37,1;-1,7;38,8;3,6;0,4;16,60;6,29;6,30;0,16;5,22;3,79;1,38;470;642;298
585;Kimara;3;252;37,0;2,4;34,6;2,9;0,1;16,59;6,16;5,70;0,10;5,46;3,59;1,52;486;619;734
572;Kilo;3;79;51,8;-0,3;52,1;3,4;0,7;10,06;5,48;7,80;0,12;5,02;3,57;1,41;513;622;375
602;Killa;3;61;44,1;-6,3;50,4;3,1;11,6;16,39;6,82;7,30;1,99;3,56;3,74;0,95;420;576;4
391;Karkkipurkki;3;240;23,5;-1,1;24,6;2,9;4,4;20,22;4,75;4,44;0,05;6,05;4,07;1,49;402;654;413
353;Kanerva;3;175;38,3;2,0;36,3;2,7;1,0;17,56;6,78;5,66;0,11;5,59;3,83;1,46;504;606;86
970;Justus;4;34;67,8;-0,9;68,7;3,4;0,3;12,31;7,85;8,20;0,13;3,35;3,08;1,09;510;612;88
365;Jupu;4;187;32,2;0,0;32,2;2,1;0,4;15,15;4,83;5,24;0,05;5,81;4,10;1,42;480;698;51
960;Junttura;4;103;50,5;0,4;50,1;4,0;2,9;15,77;8,00;7,80;0,22;4,98;3,73;1,34;505;659;51
354;Julietti;4;239;42,7;-1,4;44,1;3,7;1,1;12,34;5,48;6,94;0,06;4,87;3,72;1,31;509;598;117
6;Juhla;4;226;39,8;-1,7;41,5;3,4;0,3;17,15;6,74;7,65;0,12;4,64;3,69;1,26;471;669;426
567;Joulu;4;43;46,1;-0,5;46,6;4,0;1,7;16,85;7,55;7,80;0,31;4,12;3,55;1,16;498;629;58
547;Jöpö;4;180;34,7;-1,9;36,6;3,1;0,3;17,03;6,34;6,20;0,11;4,93;3,54;1,39;517;542;452
566;Joku;4;65;56,2;2,9;53,3;4,4;5,3;11,52;6,15;7,30;0,17;4,79;3,25;1,47;464;626;183
367;Jojo;4;47;48,0;-2,1;50,1;4,0;1,0;18,54;8,86;7,80;0,15;4,15;3,47;1,20;472;534;131
555;Jilla;3;310;46,6;1,3;45,3;2,6;0,1;12,41;5,54;7,01;0,06;5,08;3,39;1,50;475;631;24
498;Jewelry;3;370;28,7;-1,4;30,1;2,6;0,9;20,25;5,91;5,01;0,09;5,72;4,11;1,39;498;648;38
559;Jetta;4;172;39,6;-0,6;40,2;3,6;1,1;17,03;6,64;6,08;0,10;5,71;3,77;1,51;495;611;30
971;Jeni;4;34;57,0;3,5;53,5;5,0;12,0;13,08;7,53;7,80;0,18;3,93;3,00;1,31;472;589;189
853;Jasmiinitar;4;92;48,6;2,8;45,8;3,4;1,1;18,48;8,58;7,80;0,20;4,78;3,49;1,37;498;615;259
332;Jasmi HOL;4;360;28,2;0,7;27,5;2,0;0,1;3,53;0,95;1,00;0,03;4,69;3,27;1,43;501;584;195
7;Jalna;4;85;58,7;9,1;49,6;3,1;1,1;14,20;8,28;7,70;0,15;4,09;3,29;1,24;561;606;21
587;Jaffariini;4;183;44,0;-0,5;44,5;2,7;0,6;11,19;4,97;6,92;0,11;5,51;3,71;1,49;516;626;116
918;Jade;4;316;40,0;-1,0;41,0;3,6;0,9;22,02;9,07;7,50;0,20;4,50;3,46;1,30;437;610;3
900;Ippatar;4;149;63,3;3,9;59,4;3,0;0,1;10,99;7,02;8,00;0,12;4,76;3,72;1,28;478;660;35
578;Ippanen;4;347;31,5;-1,2;32,7;2,9;0,0;19,02;5,57;5,51;0,62;6,15;3,77;1,63;531;571;1047
637;Illuusio;5;99;41,8;-0,3;42,1;3,6;0,9;20,42;8,50;7,80;0,16;4,55;3,55;1,28;446;616;22
524;Illa;4;250;37,1;0,9;36,2;3,7;3,0;15,99;5,89;5,78;0,15;6,07;4,08;1,49;480;578;13
533;Iivi;4;90;59,1;1,3;57,8;3,3;0,0;12,89;7,76;7,90;0,18;4,64;3,72;1,25;496;694;584
506;Iiris;5;196;40,1;-1,3;41,4;2,9;1,3;21,94;9,04;7,40;0,20;5,09;3,67;1,39;467;578;246
795;Höystö;5;134;38,1;-1,6;39,7;3,7;1,1;16,62;6,48;5,99;0,13;5,37;4,05;1,33;496;626;24
494;Hara;6;79;47,0;-1,1;48,1;3,4;1,3;16,71;7,82;7,80;0,15;4,99;3,86;1,29;468;573;147
300;Armi;8;92;47,4;-0,5;47,9;3,4;0,0;14,39;6,75;7,80;0,12;4,46;3,53;1,26;489;598;961
